"N","estimator","age","mid","nrep","bias_a","se_a","bias_b","se_b","true_a","true_b","t_a","t_b"
50000,"svd","45-49",47.5,1000,-0.0821742219229087,0.085480143699429,0.0196168718204963,2.65391845364081,-6.34155460245041,0.025950079978389,-0.961325266506982,0.00739166336990673
50000,"svd","50-54",52.5,1000,-0.0575007667917173,0.070364668778161,0.0260765387336052,0.788227899242383,-5.93101826830349,0.0287499471299496,-0.817182369933414,0.0330824863705904
50000,"svd","55-59",57.5,1000,-0.041362685877993,0.0639394582970541,-0.0125780013200377,0.560993670782667,-5.5431915265717,0.0445772840877155,-0.646903914728641,-0.0224209326684375
50000,"svd","60-64",62.5,1000,-0.0340867204127671,0.0546349253961319,-0.0744571326157969,1.18692290020259,-5.10551938327063,0.0562673346856074,-0.623899825352014,-0.0627312293014891
50000,"svd","65-69",67.5,1000,-0.0237504102067669,0.0483341732893222,-0.0384971356756968,1.28806131053475,-4.62531761703246,0.0678324947554817,-0.491379257996201,-0.0298876578007878
50000,"svd","70-74",72.5,1000,-0.0175442392406238,0.0391898970622556,-0.0183175401833068,0.57042655956701,-4.07182736488224,0.0650219890413153,-0.447672501225345,-0.0321120043870519
50000,"svd","75-79",77.5,1000,-0.0133400158344585,0.0347863930808211,-0.031753604243904,0.716658300457716,-3.49607909020242,0.0514850010931134,-0.383483731798953,-0.0443078719992828
50000,"svd","80-84",82.5,1000,-0.0112254851268219,0.0311752964734005,-0.0145690254431316,0.4406611448417,-2.88002144208942,0.0428678086215171,-0.360076291059484,-0.0330617428236504
50000,"svd","85-89",87.5,1000,-0.01354633443336,0.0328013474163807,-0.0189592072585824,0.439701427737545,-2.28563093161235,0.0324055997576375,-0.412981035852053,-0.043118366379058
50000,"svd","90-94",92.5,1000,-0.0219537145996096,0.0442532206235899,-0.0276308089540348,0.598253660798097,-1.74976839172068,0.0223293502930381,-0.49609303662538,-0.046185774972399
50000,"svd","95-99",97.5,1000,-0.0730057037670528,0.0822562979510024,-0.10848643207826,1.34977609278999,-1.30567837065216,0.0127171967751866,-0.887539381003266,-0.0803736506060189
50000,"svd","100+",102.5,1000,-0.0736802944553251,0.12866892633675,0.148240828420747,4.64377494121044,-0.884547892930226,0.0058094476526544,-0.572634718832505,0.0319224833885053
1e+05,"svd","0",0.5,1000,-0.163382024484579,0.131402653616412,-0.00277125229066412,5.68711417855836,-5.45110163120714,0.0469011555088597,-1.24336929268963,-0.000487286205913069
1e+05,"svd","1-4",3,1000,0.100129435348698,0.120673216661877,-0.0433229260086207,2.66456108743497,-8.35609607853327,0.110675808277358,0.829756909764479,-0.0162589351818259
1e+05,"svd","5-9",7.5,1000,0.26531049633733,0.101230219446533,-0.061536321178647,2.26865829562347,-9.01766599546062,0.0784767136680064,2.62086260197687,-0.0271245437434797
1e+05,"svd","10-14",12.5,1000,0.171905987652472,0.109754060652148,-0.219701691896044,4.08543402823575,-8.97039257582296,0.0422887499214844,1.56628362204572,-0.053776830167276
1e+05,"svd","15-19",17.5,1000,-0.128321960282316,0.136537984839437,-0.269674292930309,10.0976111621054,-8.29682640500956,0.0520233944118369,-0.939826088932078,-0.0267067416838501
1e+05,"svd","20-24",22.5,1000,-0.174937253121849,0.137328857810428,0.0973188892890043,2.12107846175849,-8.02520213588412,0.0438271188339472,-1.27385646331768,0.0458817960031151
1e+05,"svd","25-29",27.5,1000,-0.175023112969682,0.131742129849905,0.226669327577191,6.32084929526745,-7.83699538879676,0.0505899039281294,-1.3285280355577,0.035860580910686
1e+05,"svd","30-34",32.5,1000,-0.143035906447741,0.1165776244052,0.0154564537190657,1.11014497517401,-7.52476319010437,0.0468341571333686,-1.22695849377217,0.0139229146325172
1e+05,"svd","35-39",37.5,1000,-0.0933659616612639,0.0948871848999058,0.112836632562114,2.12552719817526,-7.16673672016926,0.0394017280956176,-0.983968085466477,0.0530864214106427
1e+05,"svd","40-44",42.5,1000,-0.0583845127032525,0.0703277412255432,-0.019839999406521,0.724239395431994,-6.75402026895997,0.0329677363497863,-0.830177561312706,-0.0273942560038271
1e+05,"svd","45-49",47.5,1000,-0.0387315178067684,0.0571296655150312,0.0445183522575446,2.16417138153006,-6.34155460245041,0.025950079978389,-0.677958070603055,0.0205706223811491
1e+05,"svd","50-54",52.5,1000,-0.026786687238209,0.0487511329712414,0.0277804624443016,1.79659654918,-5.93101826830349,0.0287499471299496,-0.549457737813203,0.0154628274539329
1e+05,"svd","55-59",57.5,1000,-0.0202734352619691,0.0414137293242221,0.026844595362189,0.655623120632052,-5.5431915265717,0.0445772840877155,-0.489534161563942,0.0409451627274974
1e+05,"svd","60-64",62.5,1000,-0.0180596080786941,0.037788137907102,0.00233318671921025,1.77992302912493,-5.10551938327063,0.0562673346856074,-0.477917385691025,0.00131083573897986
1e+05,"svd","65-69",67.5,1000,-0.0143202234200661,0.0338203603490955,0.0250959009262814,1.10993250026896,-4.62531761703246,0.0678324947554817,-0.42342019044895,0.0226102946982812
1e+05,"svd","70-74",72.5,1000,-0.00949180734401889,0.028775270248476,0.0370080147543489,1.17135397792377,-4.07182736488224,0.0650219890413153,-0.329859885313209,0.0315942195543194
1e+05,"svd","75-79",77.5,1000,-0.00566049473826524,0.0245366395669365,0.0416830133396481,1.30480792190349,-3.49607909020242,0.0514850010931134,-0.230695598018762,0.0319457083605376
1e+05,"svd","80-84",82.5,1000,-0.00537084386540165,0.0224966462814556,0.04194296987368,1.74965563841104,-2.88002144208942,0.0428678086215171,-0.238739756948969,0.023972128545118
1e+05,"svd","85-89",87.5,1000,-0.00674332999865435,0.023660688785925,0.0244798374467459,0.787921322001708,-2.28563093161235,0.0324055997576375,-0.285001424077972,0.0310688856401995
1e+05,"svd","90-94",92.5,1000,-0.0118673409186505,0.0323417947966577,-0.0196817501400888,0.664419868658479,-1.74976839172068,0.0223293502930381,-0.36693513743637,-0.0296224587320484
1e+05,"svd","95-99",97.5,1000,-0.0388495394108255,0.0608796239718518,-0.140530666970158,4.26737371894868,-1.30567837065216,0.0127171967751866,-0.638136980425304,-0.0329314178287575
1e+05,"svd","100+",102.5,1000,-0.127962596250181,0.121804088465878,0.0530912645497279,4.01155782000542,-0.884547892930226,0.0058094476526544,-1.05056076410791,0.0132345754272728
2e+05,"svd","0",0.5,1000,-0.0908301043918032,0.0933396552976695,0.0109054337349751,2.35751356227664,-5.45110163120714,0.0469011555088597,-0.973113775727335,0.0046258201477508
2e+05,"svd","1-4",3,1000,-0.121387137206826,0.130025638653029,0.0995175519112039,3.06884531091824,-8.35609607853327,0.110675808277358,-0.933563091589541,0.0324283376412436
2e+05,"svd","5-9",7.5,1000,-0.0527038404826836,0.127047426409774,-0.0237708241880489,2.59470238886665,-9.01766599546062,0.0784767136680064,-0.414835955139263,-0.00916129121013829
2e+05,"svd","10-14",12.5,1000,-0.103923025342166,0.133458624728856,0.164632985911138,5.90178360099954,-8.97039257582296,0.0422887499214844,-0.778690965483145,0.0278954629721183
2e+05,"svd","15-19",17.5,1000,-0.163122374387319,0.132372535850172,0.129546880251704,6.28997521846456,-8.29682640500956,0.0520233944118369,-1.23229772202862,0.0205957695781395
2e+05,"svd","20-24",22.5,1000,-0.132109870239589,0.116641708341969,-0.0719491654506894,3.63970488431391,-8.02520213588412,0.0438271188339472,-1.13261261445408,-0.0197678569382836
2e+05,"svd","25-29",27.5,1000,-0.104938727422499,0.102204879626086,-0.0916663569813367,4.8179404719746,-7.83699538879676,0.0505899039281294,-1.02674870129895,-0.0190260459867757
2e+05,"svd","30-34",32.5,1000,-0.0710584170840045,0.0805373561843914,0.00172578967557287,2.15230941371366,-7.52476319010437,0.0468341571333686,-0.88230382086687,0.000801831588235791
2e+05,"svd","35-39",37.5,1000,-0.0430961448948066,0.0627623054889601,-0.0697247318746625,2.08830423081917,-7.16673672016926,0.0394017280956176,-0.686656498021527,-0.0333882060121633
2e+05,"svd","40-44",42.5,1000,-0.0282424861048014,0.0484081439884448,0.00411631665305667,0.311539058044205,-6.75402026895997,0.0329677363497863,-0.583424270749628,0.0132128429703109
2e+05,"svd","45-49",47.5,1000,-0.019637487079196,0.0405552723718317,-0.00931573029728282,0.20432852072457,-6.34155460245041,0.025950079978389,-0.484215391260337,-0.0455919235564781
2e+05,"svd","50-54",52.5,1000,-0.0122095715297883,0.0339335656812593,-0.0167813145976554,0.511642794010188,-5.93101826830349,0.0287499471299496,-0.35980809221388,-0.0327988878063262
2e+05,"svd","55-59",57.5,1000,-0.0100600017194585,0.0296779420787729,-0.0247013515755101,0.576402455419323,-5.5431915265717,0.0445772840877155,-0.338972348310294,-0.0428543482826427
2e+05,"svd","60-64",62.5,1000,-0.00815159385668363,0.0262727021798668,-0.0301040753968753,0.908591369787517,-5.10551938327063,0.0562673346856074,-0.310268574616978,-0.0331326891250523
2e+05,"svd","65-69",67.5,1000,-0.0072233385851419,0.0224528041755561,-0.0399991776695793,0.992396514534929,-4.62531761703246,0.0678324947554817,-0.321712091223145,-0.0403056410252754
2e+05,"svd","70-74",72.5,1000,-0.0051531834770735,0.0199488532006482,-0.0426930611077101,0.99639995018113,-4.07182736488224,0.0650219890413153,-0.258319785365208,-0.0428473135711711
2e+05,"svd","75-79",77.5,1000,-0.00349311912830652,0.0168808686088788,-0.0347576171142554,0.813178728898156,-3.49607909020242,0.0514850010931134,-0.20692768892646,-0.0427429000280804
2e+05,"svd","80-84",82.5,1000,-0.00376627667878404,0.0153630769586737,-0.0218146999277226,0.481483694044623,-2.88002144208942,0.0428678086215171,-0.245151195227052,-0.0453072454945917
2e+05,"svd","85-89",87.5,1000,-0.00402740213873054,0.0169643185824978,-0.012066663674251,0.239435460090457,-2.28563093161235,0.0324055997576375,-0.237404297681937,-0.0503963100106072
2e+05,"svd","90-94",92.5,1000,-0.00456517837339598,0.0208985843766288,0.000676203094564235,0.29916152491606,-1.74976839172068,0.0223293502930381,-0.218444383175603,0.00226032774352907
2e+05,"svd","95-99",97.5,1000,-0.0182260200854252,0.0376316736692107,-0.00550294746215598,0.164082357977572,-1.30567837065216,0.0127171967751866,-0.484326587375178,-0.0335377156324641
2e+05,"svd","100+",102.5,1000,-0.0969808389627276,0.0959001922817818,0.0837265560855208,2.9180978890526,-0.884547892930226,0.0058094476526544,-1.01126845166035,0.0286921684154687
5e+05,"svd","0",0.5,1000,-0.0330089997726359,0.0560158050173204,-0.00358902686614252,0.0367965367502767,-5.45110163120714,0.0469011555088597,-0.589280110540755,-0.0975370831907309
5e+05,"svd","1-4",3,1000,-0.144160838610274,0.115774721584507,0.056041892634052,0.0687110351211339,-8.35609607853327,0.110675808277358,-1.24518406641166,0.815617062605055
5e+05,"svd","5-9",7.5,1000,-0.169216391734064,0.127153343571214,0.0579737456470248,0.091384356838893,-9.01766599546062,0.0784767136680064,-1.33080567904447,0.634394634403679
5e+05,"svd","10-14",12.5,1000,-0.156673753987587,0.126505364679866,0.016594508652876,0.225524598133033,-8.97039257582296,0.0422887499214844,-1.23847517758686,0.0735818123178172
5e+05,"svd","15-19",17.5,1000,-0.076797130717619,0.0866628756763946,0.00951188742169357,0.0491956209949218,-8.29682640500956,0.0520233944118369,-0.886159501611566,0.193348253956901
5e+05,"svd","20-24",22.5,1000,-0.0517823189218909,0.0681819453129438,-0.00151027633697439,0.0331628310110741,-8.02520213588412,0.0438271188339472,-0.759472594749514,-0.0455412367077485
5e+05,"svd","25-29",27.5,1000,-0.0367546048157861,0.0587738828237659,-0.00395626663843596,0.0316335544873346,-7.83699538879676,0.0505899039281294,-0.625356077392319,-0.125065510422484
5e+05,"svd","30-34",32.5,1000,-0.025240236753941,0.0475118929372782,-0.00658823875995452,0.0212651632101888,-7.52476319010437,0.0468341571333686,-0.5312403946368,-0.309813693637577
5e+05,"svd","35-39",37.5,1000,-0.0176807909976002,0.0378835611842722,-0.00650904485750587,0.0232595514278016,-7.16673672016926,0.0394017280956176,-0.466714069239631,-0.279843954760269
5e+05,"svd","40-44",42.5,1000,-0.0107477327102963,0.0299201174708937,-0.00696155558729487,0.0119439181478183,-6.75402026895997,0.0329677363497863,-0.3592142551162,-0.582853591354062
5e+05,"svd","45-49",47.5,1000,-0.0080949917312525,0.0243224863055705,-0.00526075969902207,0.00905555015621238,-6.34155460245041,0.025950079978389,-0.332819253326028,-0.580943135234365
5e+05,"svd","50-54",52.5,1000,-0.00503227921828486,0.0199326175022993,-0.00562865702091901,0.0108767186680007,-5.93101826830349,0.0287499471299496,-0.252464545497067,-0.517495872857182
5e+05,"svd","55-59",57.5,1000,-0.00421711237844757,0.0185986740522498,-0.00997344339067609,0.0115692329472864,-5.5431915265717,0.0445772840877155,-0.226742635878252,-0.862066088228898
5e+05,"svd","60-64",62.5,1000,-0.00303408963628371,0.0167512393535722,-0.0128429439450172,0.0111892863749066,-5.10551938327063,0.0562673346856074,-0.181126278016957,-1.14778936875001
5e+05,"svd","65-69",67.5,1000,-0.00223977471089754,0.0143850552500483,-0.0148183795637556,0.0176768059876381,-4.62531761703246,0.0678324947554817,-0.155701502146821,-0.838295084197821
5e+05,"svd","70-74",72.5,1000,-0.00148648958876763,0.0124460695864878,-0.014554478628394,0.0144481411339887,-4.07182736488224,0.0650219890413153,-0.119434459082685,-1.00735994294485
5e+05,"svd","75-79",77.5,1000,-0.00102669367244923,0.0103560110725083,-0.0115304601977479,0.0134368185828521,-3.49607909020242,0.0514850010931134,-0.0991398778217561,-0.858124274481382
5e+05,"svd","80-84",82.5,1000,-0.00133312665425089,0.00968959524212253,-0.00973508028410676,0.00664131784851583,-2.88002144208942,0.0428678086215171,-0.137583317046675,-1.46583562271188
5e+05,"svd","85-89",87.5,1000,-0.000987049444665988,0.0101944012543829,-0.0072560409664598,0.0097699598385212,-2.28563093161235,0.0324055997576375,-0.0968226990517592,-0.742688924661751
5e+05,"svd","90-94",92.5,1000,-0.00215871909225007,0.0138529166503513,-0.00507133969727332,0.00707972666661198,-1.74976839172068,0.0223293502930381,-0.155831378094326,-0.716318572182988
5e+05,"svd","95-99",97.5,1000,-0.0052062135822033,0.023427669751402,-0.00339034421703682,0.0103385668744419,-1.30567837065216,0.0127171967751866,-0.22222498598657,-0.32793173930307
5e+05,"svd","100+",102.5,1000,-0.040490626883954,0.0630636938291332,-0.0109456976989297,0.0297369940173791,-0.884547892930226,0.0058094476526544,-0.642059232902859,-0.368083528971782
1e+06,"svd","0",0.5,1000,-0.0176403795466946,0.0367394866588907,-0.00402037073030977,0.012974212487961,-5.45110163120714,0.0469011555088597,-0.480147687159526,-0.309873969926139
1e+06,"svd","1-4",3,1000,-0.0775098923026647,0.0900991773031212,0.0273294528338969,0.0398891589499671,-8.35609607853327,0.110675808277358,-0.860273030483926,0.685134847495185
1e+06,"svd","5-9",7.5,1000,-0.106989368440459,0.100621281535255,0.045485012959177,0.0503157537931173,-9.01766599546062,0.0784767136680064,-1.06328767441679,0.903991484380761
1e+06,"svd","10-14",12.5,1000,-0.0916893921778446,0.0933165173209256,0.0233450453942753,0.0505627298281894,-8.97039257582296,0.0422887499214844,-0.982563374740131,0.461704608782022
1e+06,"svd","15-19",17.5,1000,-0.0385804551294502,0.060011347396142,0.000508493146306598,0.0208905791032442,-8.29682640500956,0.0520233944118369,-0.642886000788751,0.0243407874809766
1e+06,"svd","20-24",22.5,1000,-0.0244561818555802,0.0459446401018148,-0.00180476500270813,0.0160846883537439,-8.02520213588412,0.0438271188339472,-0.532296733664351,-0.112203914867151
1e+06,"svd","25-29",27.5,1000,-0.0192844537705499,0.0391671407899826,-0.00420252736689861,0.0135340341004994,-7.83699538879676,0.0505899039281294,-0.492363072248615,-0.310515500086078
