"N","estimator","age","mid","nrep","bias_a","se_a","bias_b","se_b","true_a","true_b","t_a","t_b"
50000,"mle","65-69",67.5,300,-0.00647791007652732,0.0435531370555937,0.0178750998285477,0.0675998905334763,-4.62531761703246,0.0678324947554817,-0.148735786087201,0.264424981867326
50000,"mle","70-74",72.5,300,-0.00592054971984002,0.0416588542668905,0.0172700892304039,0.0738747866088601,-4.07182736488224,0.0650219890413153,-0.142119840404385,0.233775148777657
50000,"mle","75-79",77.5,300,-0.00689924652555307,0.0350617679934799,0.0136588054465969,0.0514078015438287,-3.49607909020242,0.0514850010931134,-0.196774062472721,0.265695187041831
50000,"mle","80-84",82.5,300,-0.00460472656000421,0.0327860116978222,0.0105727636457064,0.0438703055173718,-2.88002144208942,0.0428678086215171,-0.140447902063979,0.241000456254398
50000,"mle","85-89",87.5,300,-0.00628589045219963,0.032679271613559,0.00722770439315203,0.0344820337523791,-2.28563093161235,0.0324055997576375,-0.192350996268581,0.209607833605619
50000,"mle","90-94",92.5,300,-0.00466234569387591,0.0419472224275169,0.00672975068444067,0.0418972542402569,-1.74976839172068,0.0223293502930381,-0.111147900243747,0.160625100772699
50000,"mle","95-99",97.5,300,-0.00616086951400052,0.0780589138575348,-0.00364248917489286,0.0526258494140002,-1.30567837065216,0.0127171967751866,-0.0789258933994997,-0.0692148291277526
50000,"mle","100+",102.5,300,-0.0269282723724849,0.191313014130007,-0.0271864684808435,0.166855508065124,-0.884547892930226,0.0058094476526544,-0.140755047401981,-0.162934198553593
1e+05,"mle","0",0.5,300,-0.0112952712025791,0.123619927233819,0.00404553047735526,0.0390787196123026,-5.45110163120714,0.0469011555088597,-0.091370958188762,0.103522595353448
1e+05,"mle","1-4",3,300,-0.0475527628327779,0.277872161961494,0.00197317199660761,0.0783807763878693,-8.35609607853327,0.110675808277358,-0.171131798511603,0.0251741828486531
1e+05,"mle","5-9",7.5,300,-0.0576179680947817,0.309676339699987,-0.0129121419763251,0.121423750441297,-9.01766599546062,0.0784767136680064,-0.186058670644976,-0.106339508781419
1e+05,"mle","10-14",12.5,300,-0.057188393690371,0.278297326065981,-0.0123626036409021,0.0904985213564067,-8.97039257582296,0.0422887499214844,-0.205493866932851,-0.136605587092578
1e+05,"mle","15-19",17.5,300,-0.0294882277658406,0.179473062265569,-0.0029798975857294,0.0668388645159972,-8.29682640500956,0.0520233944118369,-0.164304477750574,-0.0445833065433987
1e+05,"mle","20-24",22.5,300,-0.0137091016347952,0.148076117497347,0.00193809269572906,0.0482792975602979,-8.02520213588412,0.0438271188339472,-0.0925814497739035,0.0401433490888823
1e+05,"mle","25-29",27.5,300,-0.00882434080503192,0.118901665690991,-0.00351032594881984,0.0477344647538568,-7.83699538879676,0.0505899039281294,-0.0742154515140704,-0.0735386050083701
1e+05,"mle","30-34",32.5,300,-0.00185373328460248,0.0925001332836412,0.00238261448547258,0.038113627057505,-7.52476319010437,0.0468341571333686,-0.0200403309573427,0.0625134543578796
1e+05,"mle","35-39",37.5,300,-0.0110471406565864,0.0758312065256648,0.00273966189818101,0.0325974001765698,-7.16673672016926,0.0394017280956176,-0.145680665819916,0.084045411086195
1e+05,"mle","40-44",42.5,300,-0.00532284556157414,0.0628459339733398,0.00279915769329717,0.0251858904574008,-6.75402026895997,0.0329677363497863,-0.0846967373232479,0.111139913755745
1e+05,"mle","45-49",47.5,300,-0.00110147016379436,0.0562659084317221,0.00297296536888441,0.0229654197858975,-6.34155460245041,0.025950079978389,-0.0195761553398001,0.12945399633888
1e+05,"mle","50-54",52.5,300,0.00126896793840103,0.0487439385579238,0.00210280973635971,0.0183678978387533,-5.93101826830349,0.0287499471299496,0.0260333484725097,0.114482874132887
1e+05,"mle","55-59",57.5,300,-0.00291358631779914,0.0410736651430115,0.00256007167647516,0.021986749620633,-5.5431915265717,0.0445772840877155,-0.0709356301088431,0.116437023236609
1e+05,"mle","60-64",62.5,300,-0.00600087519702885,0.0355256084961295,0.00281252667407986,0.0186454333759207,-5.10551938327063,0.0562673346856074,-0.168916887030454,0.150842655001629
1e+05,"mle","65-69",67.5,300,-0.00287705279201145,0.0325338066881311,0.00382801781041137,0.0244518520636176,-4.62531761703246,0.0678324947554817,-0.0884327130726159,0.156553286861536
1e+05,"mle","70-74",72.5,300,-0.00101990820581843,0.0294644351414562,0.00501051838881661,0.0213231943974665,-4.07182736488224,0.0650219890413153,-0.0346148908309947,0.234979726555976
1e+05,"mle","75-79",77.5,300,-0.00158654484493681,0.0233765651305678,0.00389151476501394,0.0174156340791403,-3.49607909020242,0.0514850010931134,-0.0678690319161647,0.223449502173167
1e+05,"mle","80-84",82.5,300,-0.000925100214200114,0.0202407491921266,0.00200342601937539,0.0143510462453445,-2.88002144208942,0.0428678086215171,-0.0457048405382132,0.139601391085009
1e+05,"mle","85-89",87.5,300,-4.25802844827849e-05,0.0238851591334708,0.00120764448244668,0.0129221963191779,-2.28563093161235,0.0324055997576375,-0.00178270884631102,0.0934550484002792
1e+05,"mle","90-94",92.5,300,0.000119035205475182,0.0296212127975693,0.00120057390279476,0.0130012786210595,-1.74976839172068,0.0223293502930381,0.00401857973502524,0.0923427562616857
1e+05,"mle","95-99",97.5,300,-0.00568034116021021,0.0571435134708388,-0.000601631292906761,0.0224600786085845,-1.30567837065216,0.0127171967751866,-0.0994048285656949,-0.0267866957810562
1e+05,"mle","100+",102.5,300,-0.0310173211115138,0.133993229288128,-0.0111016976266173,0.057621626597917,-0.884547892930226,0.0058094476526544,-0.23148424197477,-0.192665467500333
2e+05,"mle","0",0.5,300,-0.00416660830219584,0.0804987270403215,-0.001472183467538,0.0259953209400715,-5.45110163120714,0.0469011555088597,-0.05175992783226,-0.0566326328854302
2e+05,"mle","1-4",3,300,-0.0238222746588512,0.176982500802868,-0.000544129656138467,0.0533965190724107,-8.35609607853327,0.110675808277358,-0.134602429905687,-0.0101903582029491
2e+05,"mle","5-9",7.5,300,-0.0506916263293391,0.229884973363625,-0.000357441466040387,0.0620725209434337,-9.01766599546062,0.0784767136680064,-0.220508655209737,-0.0057584493203703
2e+05,"mle","10-14",12.5,300,-0.0377397457214066,0.179297626425891,-0.00181445998109998,0.0582519879186834,-8.97039257582296,0.0422887499214844,-0.210486588549489,-0.0311484645576881
2e+05,"mle","15-19",17.5,300,-0.00434662009777931,0.117460830979934,0.0018004481938754,0.0382101045252805,-8.29682640500956,0.0520233944118369,-0.0370048471606831,0.0471196877434395
2e+05,"mle","20-24",22.5,300,-0.00931449454203559,0.0951950994484161,-0.00187454003464834,0.0314261428537695,-8.02520213588412,0.0438271188339472,-0.0978463659999945,-0.0596490649002282
2e+05,"mle","25-29",27.5,300,-0.00310408228982606,0.0890638491125133,-0.000101579838410436,0.0309167272562674,-7.83699538879676,0.0505899039281294,-0.0348523258399119,-0.00328559480337116
2e+05,"mle","30-34",32.5,300,0.000849998997721535,0.069360416950041,0.000387466805974367,0.0257274655134168,-7.52476319010437,0.0468341571333686,0.012254813841932,0.0150604343740079
2e+05,"mle","35-39",37.5,300,0.0078885640352242,0.0588895978811246,-0.000546062096405259,0.0180178011675606,-7.16673672016926,0.0394017280956176,0.133955135016343,-0.0303068110990365
2e+05,"mle","40-44",42.5,300,-0.002535737279036,0.0478513979684621,0.000190063137198389,0.0163697064181017,-6.75402026895997,0.0329677363497863,-0.0529919163638072,0.011610662546044
2e+05,"mle","45-49",47.5,300,-0.00613853015058119,0.0369675477739982,0.000764926656946819,0.0134577559269228,-6.34155460245041,0.025950079978389,-0.166051862247104,0.056839094207122
2e+05,"mle","50-54",52.5,300,-0.00328340924296633,0.0324162831794039,0.000304402258229617,0.0131217586767419,-5.93101826830349,0.0287499471299496,-0.101288886970622,0.0231982820084296
2e+05,"mle","55-59",57.5,300,-0.00123866821334317,0.028698598250403,0.000649948517936379,0.0121955891981424,-5.5431915265717,0.0445772840877155,-0.0431612792560619,0.0532937365613607
2e+05,"mle","60-64",62.5,300,-0.0018828952250125,0.0263302911199517,0.00112302220165354,0.0108892638237559,-5.10551938327063,0.0562673346856074,-0.0715106117298393,0.10313114089527
2e+05,"mle","65-69",67.5,300,-0.00184635014309631,0.0216645812885342,0.00104786752686016,0.0128034234485723,-4.62531761703246,0.0678324947554817,-0.0852243631439797,0.0818427611231597
2e+05,"mle","70-74",72.5,300,-0.00065688508782813,0.0195685682808628,0.000930186179407114,0.0110886231278939,-4.07182736488224,0.0650219890413153,-0.0335683775327874,0.0838865356571809
2e+05,"mle","75-79",77.5,300,-0.000589357737447394,0.017207122819253,0.000655780017267932,0.0087554749423808,-3.49607909020242,0.0514850010931134,-0.0342508008827579,0.0748994225423037
2e+05,"mle","80-84",82.5,300,-0.00130537935000641,0.0153704575315231,0.000738639556073131,0.00881917353057257,-2.88002144208942,0.0428678086215171,-0.0849278134583322,0.0837538294844252
2e+05,"mle","85-89",87.5,300,-0.000874945585707998,0.0173181870109901,0.00092136184883411,0.00756046653645301,-2.28563093161235,0.0324055997576375,-0.0505217772017798,0.121865739950271
2e+05,"mle","90-94",92.5,300,0.000204048202857798,0.0223921414841204,-7.9395101689507e-05,0.00795296134884458,-1.74976839172068,0.0223293502930381,0.00911249167492537,-0.00998308657705744
